"X","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
1,"Gabriel Perecia","urban",18,"U","GT3","A",4,4,"at_home","teacher","course","mother","15-30 min","2-5 hours",0,"yes","no","no","no","yes","yes","no","no","high","average","high","very low","very low","average",6,5,6,6
2,"Gabriel Perecia","urban",17,"U","GT3","T",1,1,"at_home","other","course","father","0-15 min","2-5 hours",0,"no","yes","no","no","no","yes","yes","no","very high","average","average","very low","very low","average",4,5,5,6
3,"Gabriel Perecia","urban",15,"U","LE3","T",1,1,"at_home","other","other","mother","0-15 min","2-5 hours",3,"yes","no","yes","no","yes","yes","yes","no","high","average","low","low","average","average",10,7,8,10
4,"Gabriel Perecia","urban",15,"U","GT3","T",4,2,"health","services","home","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","average","low","low","very low","very low","very good",2,15,14,15
5,"Gabriel Perecia","urban",16,"U","GT3","T",3,3,"other","other","home","father","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","no","no","high","average","low","very low","low","very good",4,6,10,10
6,"Gabriel Perecia","urban",16,"U","LE3","T",4,3,"services","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","high","low","very low","low","very good",10,15,15,15
7,"Gabriel Perecia","urban",16,"U","LE3","T",2,2,"other","other","home","mother","0-15 min","2-5 hours",0,"no","no","no","no","yes","yes","yes","no","high","high","high","very low","very low","average",0,12,12,11
8,"Gabriel Perecia","urban",17,"U","GT3","A",4,4,"other","teacher","home","mother","15-30 min","2-5 hours",0,"yes","yes","no","no","yes","yes","no","no","high","very low","high","very low","very low","very bad",6,6,5,6
9,"Gabriel Perecia","urban",15,"U","LE3","A",3,2,"services","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","low","low","very low","very low","very bad",0,16,18,19
10,"Gabriel Perecia","urban",15,"U","GT3","T",3,4,"other","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","very high","very low","very low","very low","very good",0,14,15,15
11,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"teacher","health","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","average","average","average","very low","low","bad",0,10,8,9
12,"Gabriel Perecia","urban",15,"U","GT3","T",2,1,"services","other","reputation","father","30-60 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","low","low","very low","very low","good",4,10,12,12
13,"Gabriel Perecia","urban",15,"U","LE3","T",4,4,"health","services","course","father","0-15 min","0-2 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","average","very low","average","very good",2,14,14,14
14,"Gabriel Perecia","urban",15,"U","GT3","T",4,3,"teacher","other","course","mother","15-30 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","very high","high","average","very low","low","average",2,10,10,11
15,"Gabriel Perecia","urban",15,"U","GT3","A",2,2,"other","other","home","other","0-15 min","5-10 hours",0,"no","yes","no","no","yes","yes","yes","yes","high","very high","low","very low","very low","average",0,14,16,16
16,"Gabriel Perecia","urban",17,"U","GT3","T",4,4,"health","other","home","mother","0-15 min","0-2 hours",0,"no","yes","no","no","yes","yes","yes","no","high","high","high","very low","low","bad",4,14,14,14
17,"Gabriel Perecia","urban",17,"U","GT3","T",4,4,"services","services","reputation","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","average","low","average","very low","low","bad",6,13,14,14
18,"Gabriel Perecia","urban",16,"U","GT3","T",3,3,"other","other","reputation","mother","30-60 min","2-5 hours",0,"yes","yes","no","yes","yes","yes","no","no","very high","average","low","very low","very low","good",4,8,10,10
19,"Gabriel Perecia","urban",17,"U","GT3","T",3,2,"services","services","course","mother","0-15 min","0-2 hours",3,"no","yes","no","yes","yes","yes","yes","no","very high","very high","very high","low","high","very good",16,6,5,5
20,"Gabriel Perecia","urban",16,"U","LE3","T",4,3,"health","other","home","father","0-15 min","0-2 hours",0,"no","no","yes","yes","yes","yes","yes","no","average","very low","average","very low","average","very good",4,8,10,10
21,"Gabriel Perecia","urban",15,"U","GT3","T",4,3,"teacher","other","reputation","mother","0-15 min","2-5 hours",0,"no","no","no","no","yes","yes","yes","no","high","high","very low","very low","very low","very bad",0,13,14,15
22,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"health","health","other","father","0-15 min","0-2 hours",0,"no","yes","yes","no","yes","yes","yes","no","very high","high","low","very low","very low","very good",0,12,15,15
23,"Gabriel Perecia","urban",16,"U","LE3","T",4,2,"teacher","other","course","mother","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","no","high","very high","very low","very low","average","very good",2,15,15,16
24,"Gabriel Perecia","urban",16,"U","LE3","T",2,2,"other","other","reputation","mother","15-30 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","high","low","high","very good",0,13,13,12
25,"Gabriel Perecia","rural",15,"R","GT3","T",2,4,"services","health","course","mother","0-15 min","5-10 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","average","low","very low","very low","very good",2,10,9,8
26,"Gabriel Perecia","urban",16,"U","GT3","T",2,2,"services","services","home","mother","0-15 min","0-2 hours",2,"no","yes","yes","no","no","yes","yes","no","very low","low","low","very low","average","very good",14,6,9,8
27,"Gabriel Perecia","urban",15,"U","GT3","T",2,2,"other","other","home","mother","0-15 min","0-2 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","low","low","very low","low","very good",2,12,12,11
28,"Gabriel Perecia","urban",15,"U","GT3","T",4,2,"health","services","other","mother","0-15 min","0-2 hours",0,"no","no","yes","no","yes","yes","yes","no","low","low","high","low","high","very bad",4,15,16,15
29,"Gabriel Perecia","urban",16,"U","LE3","A",3,4,"services","other","home","mother","0-15 min","2-5 hours",0,"yes","yes","no","yes","yes","yes","yes","no","very high","average","average","very low","very low","very good",4,11,11,11
30,"Gabriel Perecia","urban",16,"U","GT3","T",4,4,"teacher","teacher","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","high","high","very high","very high","very high","very good",16,10,12,11
31,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"health","services","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","no","yes","yes","no","very high","high","low","average","high","very good",0,9,11,12
32,"Gabriel Perecia","urban",15,"U","GT3","T",4,4,"services","services","reputation","mother","15-30 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","very low","very low","very low","very good",0,17,16,17
33,"Gabriel Perecia","rural",15,"R","GT3","T",4,3,"teacher","at_home","course","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","yes","high","very high","low","very low","very low","very good",0,17,16,16
34,"Gabriel Perecia","urban",15,"U","LE3","T",3,3,"other","other","course","mother","0-15 min","2-5 hours",0,"no","no","no","yes","no","yes","yes","no","very high","average","low","very low","very low","bad",0,8,10,12
35,"Gabriel Perecia","urban",16,"U","GT3","T",3,2,"other","other","home","mother","0-15 min","0-2 hours",0,"no","yes","yes","no","no","yes","yes","no","very high","high","average","very low","very low","very good",0,12,14,15
